classification,pricePerMonth,dateListed,address,specs,url
House For Rent,950,13 days ago,"1116-A 9th St, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/1116-A-9th-St-Durham-NC-27705/2114942890_zpid/
House For Rent,950,73 days ago,"1114 9th St, Durham, NC",2 bds  1 ba  880 sqft,zillow.com/homedetails/1114-9th-St-Durham-NC-27705/49966875_zpid/
House For Rent,985,6 days ago,"409 Newsom St, Durham, NC",2 bds  1 ba  -- sqft,zillow.com/homedetails/409-Newsom-St-Durham-NC-27704/49986888_zpid/
Townhouse For Rent,995,26 days ago,"508 Gurley St # B, Durham, NC",2 bds  1 ba  775 sqft,zillow.com/homedetails/508-Gurley-St-B-Durham-NC-27701/2095085197_zpid/
Apartment For Rent,995,7 days ago,"901 S Duke St APT 10, Durham, NC",2 bds  1 ba  800 sqft,zillow.com/homedetails/901-S-Duke-St-APT-10-Durham-NC-27707/2094882045_zpid/
House For Rent,995,16 days ago,"19065 James St, Durham, NC",1 bd  1 ba  700 sqft,zillow.com/homedetails/19065-James-St-Durham-NC-27707/2103120782_zpid/
House For Rent,995,2 days ago,"2718 Highland Ave, Durham, NC",2 bds  1 ba  -- sqft,zillow.com/homedetails/2718-Highland-Ave-Durham-NC-27704/49980706_zpid/
Townhouse For Rent,995,34 days ago,"404 Canal St, Durham, NC","3 bds  1 ba  1,150 sqft",zillow.com/homedetails/404-Canal-St-Durham-NC-27701/49973658_zpid/
Condo For Rent,1000,24 days ago,"34 Stonewall Way, Durham, NC","3 bds  2 ba  1,150 sqft",zillow.com/homedetails/34-Stonewall-Way-Durham-NC-27704/49986341_zpid/
Apartment For Rent,1000,27 days ago,"1203 Chalk Level Rd # 1203, Durham, NC",2 bds  1 ba  906 sqft,zillow.com/homedetails/1203-Chalk-Level-Rd-1203-Durham-NC-27704/2095101144_zpid/
House For Rent,1000,3 days ago,"16 Quintin Pl, Durham, NC","2 bds  1.5 ba  1,088 sqft",zillow.com/homedetails/16-Quintin-Pl-Durham-NC-27705/50015851_zpid/
House For Rent,1000,33 days ago,"511 Commonwealth St, Durham, NC","3 bds  1 ba  1,035 sqft",zillow.com/homedetails/511-Commonwealth-St-Durham-NC-27703/49988634_zpid/
House For Rent,1000,37 days ago,"Rochelle St, Durham, NC",3 bds  1 ba  -- sqft,zillow.com/homedetails/Rochelle-St-Durham-NC-27703/2098193654_zpid/
Townhouse For Rent,1000,27 days ago,"21 Forest Oaks Dr, Durham, NC",2 bds  2 ba  -- sqft,zillow.com/homedetails/21-Forest-Oaks-Dr-Durham-NC-27705/50015988_zpid/
House For Rent,1025,49 days ago,"2635 Chapel Hill Rd, Durham, NC",3 bds  1 ba  -- sqft,zillow.com/homedetails/2635-Chapel-Hill-Rd-Durham-NC-27707/49969720_zpid/
